"Id,R,Nome,Squadra,QuotaIniziale"
"6669,A,Bonny,Inter,5"
"7071,A,Esposito F.P.,Inter,7"
"6159,A,Sarr A.,Verona,8"
"6630,A,Mosquera,Verona,6"
"7127,A,Addai,Como,7"
"7129,A,Rodriguez Je.,Como,5"
"5496,A,Johnsen,Cremonese,7"
"5515,A,Okereke,Cremonese,5"
"6556,A,Noslin,Lazio,7"
"5455,A,Moreo,Pisa,5"
"6653,A,Bravo,Udinese,6"
"7199,A,Kilicsoy,Cagliari,6"
"7213,A,Frigan,Parma,7"
"6555,A,Moumbagna,Cremonese,6"
"6243,A,Borrelli,Cagliari,5"
"6001,A,Banda,Lecce,5"
"6207,A,Almqvist,Parma,4"
"5500,A,Cancellieri,Lazio,3"
"7001,A,N'Dri,Lecce,5"
"1842,A,Pierini,Sassuolo,5"
"7161,A,Bayo V.,Udinese,4"
"6439,A,Cheddira,Sassuolo,4"
"505,A,Bonazzoli,Cremonese,1"
"7162,A,Giovane,Verona,1"
"5506,A,Ekuban,Genoa,2"
"6836,A,Meister,Pisa,2"
"247,A,Pavoletti,Cagliari,1"
"6822,A,Ekhator,Genoa,1"
"2012,A,Milik,Juventus,1"
"6667,A,Benedyczak,Parma,1"
"7171,A,Buffon L.,Pisa,1"
"7158,A,Moro L.,Sassuolo,1"
"7159,A,Skjellerup,Sassuolo,1"
"6827,A,Njie,Torino,1"
"7264,A,Ambrosino,Napoli,1"
"7272,A,Gueye,Udinese,1"
